filename,extension,path,md5,console
Pokemon - LeafGreen Version (Europe) (Rev 1).gba,.gba,/storage/emulated/0/RetroArch/roms/gba/Pokemon - LeafGreen Version (Europe) (Rev 1).gba,9d33a02159e018d09073e700e1fd10fd,gba
"Paperboy (USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Paperboy (USA, Brazil).zip",1b384d983af9c89e6b4089c99cd79e5f,mastersystem
"Global Defense (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Global Defense (USA, Europe, Brazil).zip",ccf7f02c43fb439173d55e5e222f83cb,mastersystem
"Joe Montana Football (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Joe Montana Football (USA, Europe, Brazil).zip",fee0c9a5846b9fc2068d9794ebc166e5,mastersystem
"Global Defense (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Global Defense (USA, Europe, Brazil) (Beta).zip",2df1f2286d1d91b41f5f00ee1d978f66,mastersystem
"Astro Warrior (Japan, USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Astro Warrior (Japan, USA, Brazil).zip",85fe45f664e5ad15fbc71178cd901bdb,mastersystem
"Lord of the Sword (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Lord of the Sword (USA, Europe, Brazil).zip",d8b5ae285b77482831daf67015bff729,mastersystem
"E-SWAT (USA, Europe, Brazil) (Beta 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/E-SWAT (USA, Europe, Brazil) (Beta 1).zip",362d9694a782fb8ddcc4cf58e1592390,mastersystem
"Quartet (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Quartet (USA, Europe).zip",d2e97bdf64d43c015ea56ad0de44293c,mastersystem
"Ninja, The (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ninja, The (USA, Europe, Brazil).zip",025ccd5bc153d3447c8bd7b6d1d867d9,mastersystem
Fantasy Zone (World) (Rev 1).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Fantasy Zone (World) (Rev 1).zip,1e0882372ecf7444b6bf5652919f9f0a,mastersystem
"TransBot (USA, Europe, Brazil) (Beta).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/TransBot (USA, Europe, Brazil) (Beta).zip",4dd9307b66032018a26faafb007eda79,mastersystem
Double Dragon (World).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Double Dragon (World).zip,223074981bf90da0962bfa9decd093eb,mastersystem
"Wonder Boy III - The Dragon's Trap (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Wonder Boy III - The Dragon's Trap (USA, Europe).zip",19829b5078ece4c812f8b5471925d953,mastersystem
"Fantasy Zone II (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Fantasy Zone II (USA, Europe, Brazil).zip",55eaeea21484ebe1e3b8bbd65fe33142,mastersystem
World Cup Italia '90 (USA) (Demo).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/World Cup Italia '90 (USA) (Demo).zip,4d742823a17738096faf3a97aba48d3a,mastersystem
Monopoly (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Monopoly (USA).zip,28a6a064fe45a2b393f682a53bc4886f,mastersystem
Where in the World is Carmen Sandiego (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Where in the World is Carmen Sandiego (USA).zip,b7f84deda13ec465ef86a8edffdc70a6,mastersystem
"Wanted (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Wanted (USA, Europe, Brazil).zip",4c2c7d0895f768b95b5aface625953df,mastersystem
"Kung Fu Kid (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Kung Fu Kid (USA, Europe, Brazil).zip",016f42fa9b1dafa46c5ba31eb723f176,mastersystem
"Slap Shot (USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Slap Shot (USA, Brazil).zip",60210c6e9864e60bff99e4f8961b7b59,mastersystem
"Rastan (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Rastan (USA, Europe, Brazil).zip",299ce066ebebc9a7cded088c701cebf3,mastersystem
DARC.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/DARC.zip,145aed68aba0c0e45b22ed829460c4f1,mastersystem
"Power Strike (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Power Strike (USA, Europe, Brazil).zip",610ea58fd765979b5476719a277129be,mastersystem
"Teddy Boy (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Teddy Boy (USA, Europe, Brazil).zip",5d37399a060060d84a38ac751ab21943,mastersystem
"Casino Games (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Casino Games (USA, Europe).zip",5753169baf635e9ede406562ab6fd2af,mastersystem
"Ghouls'n Ghosts (USA, Europe, Brazil) (Demo).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Ghouls'n Ghosts (USA, Europe, Brazil) (Demo).zip",81f07413470d2aef9173c5a512cf0304,mastersystem
Zaxxon 3-D (World) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Zaxxon 3-D (World) (Beta).zip,6247f2a9a175c9cfac696a671d1c7cf6,mastersystem
Positorb.zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Positorb.zip,2df78072b38c49e3617a55d16d6a7549,mastersystem
King's Quest - Quest for the Crown (USA) (Beta).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/King's Quest - Quest for the Crown (USA) (Beta).zip,b505173bed4b4feb9cc1f0ff13463ee0,mastersystem
"Zillion (USA, Europe) (Rev 1).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Zillion (USA, Europe) (Rev 1).zip",41738005c7555dec1fcd6f60c8e77117,mastersystem
"World Grand Prix (USA, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/World Grand Prix (USA, Brazil).zip",a4e736add72406f39ba6daee4a3ffb2e,mastersystem
"Shanghai (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Shanghai (USA, Europe).zip",4f2cbe2b9b0652637080a7a89c079985,mastersystem
Reggie Jackson Baseball (USA).zip,.zip,/storage/emulated/0/RetroArch/roms/mastersystem/Reggie Jackson Baseball (USA).zip,b028a7b5257e7d1754ec4b5316944485,mastersystem
"Dick Tracy (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Dick Tracy (USA, Europe, Brazil).zip",2d09c899017046dd290cd3dfab03b6c3,mastersystem
"Black Belt (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Black Belt (USA, Europe, Brazil).zip",262d5ffd914d07c7095e4b2121360123,mastersystem
"Sonic The Hedgehog (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Sonic The Hedgehog (USA, Europe, Brazil).zip",e56094feb8f03e919e108f97199d8f11,mastersystem
"Alex Kidd in Miracle World (USA, Europe).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Alex Kidd in Miracle World (USA, Europe).zip",eaf2f98b64c1381c961d0f6b402ddc54,mastersystem
"Rambo III (USA, Europe, Brazil).zip",.zip,"/storage/emulated/0/RetroArch/roms/mastersystem/Rambo III (USA, Europe, Brazil).zip",b8f981cbc0c3b3e95b0da69de2d173c9,mastersystem
